Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
29,The Closet,Comedy,French,Movie,3.8,South Korea,1-2 hour,Francis Veber,"Gérard Depardieu, Michèle Laroque, Daniel Auteuil, Thierry Lhermitte",7,85,16657,1,1,"$6,678,894 ",3/1/2021,,,,
30,Heroes Wanted,Action,Spanish,Movie,6.4,"Argentina,Brazil,United Kingdom,Australia,Switzerland,Sweden,Netherlands,Belgium,France,India,Iceland,Germany,Portugal,Lithuania,Russia,South Africa,Slovakia,Czech Republic,Hungary,Greece,Romania,Poland,Singapore,United States,Canada,Mexico,South Korea,Spain,Hong Kong,Japan,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,Joaquín Mazón,"Miki Esparbé, María León, Jordi Sánchez, Andoni Agirregomezkorta",4.6,,1804,,,,1/31/2017,,,,
31,No Longer Human,Biography,Japanese,Movie,7.8,Japan,> 2 hrs,Mika Ninagawa,"Tatsuya Fujiwara, Kengo Kôra, Yûdai Chiba, Rie Miyazawa",5.9,,379,,2,,3/1/2021,,,,
32,Repast,Drama,Japanese,Movie,8.4,Japan,1-2 hour,Mikio Naruse,"Yukiko Shimazaki, Setsuko Hara, Ken Uehara, Yôko Sugi",7.7,87,1355,9,,,3/1/2021,,,,
33,Sway,Crime,Japanese,Movie,8.5,Japan,1-2 hour,Miwa Nishikawa,"Masatô Ibu, Hirofumi Arai, Joe Odagiri, Teruyuki Kagawa",7.2,86,963,10,4,,3/1/2021,,,,
34,When a Woman Ascends the Stairs,Drama,Japanese,Movie,7.6,Japan,1-2 hour,Mikio Naruse,"Hideko Takamine, Tatsuya Nakadai, Masayuki Mori, Reiko Dan",8.1,100,3771,,,,3/1/2021,,,,
35,Yearning,Drama,Japanese,Movie,8.5,Japan,1-2 hour,Mikio Naruse,"Hideko Takamine, Yumi Shirakawa, Mitsuko Kusabue, Yûzô Kayama",8.1,88,1359,1,,,3/1/2021,,,,
36,Indiana Jones and the Kingdom of the Crystal Skull,Action,"English, German, Russian",Movie,3.4,"Argentina,Hong Kong,Belgium,Singapore,Russia,Poland,Greece,Slovakia,Turkey,Czech Republic,Hungary,Brazil,Italy,India,Mexico,Colombia,Romania",> 2 hrs,Steven Spielberg,"Karen Allen, Cate Blanchett, Shia LaBeouf, Harrison Ford",6.1,78,426056,10,42,"$317,101,119 ",9/1/2015,,,,
37,Ginza Cosmetics,Drama,"Japanese, English",Movie,7.7,Japan,1-2 hour,Mikio Naruse,"Yûji Hori, Kyôko Kagawa, Ranko Hanai, Kinuyo Tanaka",6.9,45,279,,,,3/1/2021,,,,
38,Floating Clouds,Drama,Japanese,Movie,7.8,Japan,> 2 hrs,Mikio Naruse,"Hideko Takamine, Isao Yamagata, Mariko Okada, Masayuki Mori",7.7,83,2395,9,,,3/1/2021,,,,
