Title ID,Title,Genre,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Actors,IMDb Score,Rotten Tomatoes Score,IMDb Votes,Awards Received,Awards Nominated For,Boxoffice,Netflix Release Date,,,,
5719,Gina Yashere: Skinny B*tch,Documentary,English,Movie,8.1,"Australia,Singapore,Russia,Hungary,Lithuania,United Kingdom,Canada,Romania,South Africa,Thailand,India,Czech Republic,United States",30-60 mins,Paul M. Green,Gina Yashere,6.3,,65,,,,12/30/2018,,,,
5720,Todd Glass: Stand-Up Special,Comedy,English,Movie,8.1,"Singapore,Russia,Hungary,Lithuania,United Kingdom,Canada,South Africa,Romania,Thailand,Australia,India,Czech Republic,United States",30-60 mins,Jay Chapman,Todd Glass,6.3,,144,,,,12/30/2018,,,,
5721,Worlds Oddest Animal Couples US,Action,"English, Spanish, Hebrew, Arabic",Series,3.3,"Hungary,Russia,Lithuania,Romania,Canada,South Africa,Thailand,Czech Republic,Iceland,India,Greece,Malaysia,Slovakia",< 30 minutes,Marc Forster,"Brad Pitt, Daniella Kertesz, Mireille Enos, James Badge Dale",7,66,602843,3,24,"$202,359,711 ",7/31/2016,,,,
5722,Secrets in the Hot Spring,Comedy,Chinese,Movie,8.1,"Hong Kong,Australia,Japan,South Korea,Singapore,Russia,India,Slovakia,Lithuania,Germany,Romania,Mexico,United Kingdom,Canada,Switzerland,Argentina,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Malaysia,Brazil,Iceland,Israel,Colombia",1-2 hour,Kuan-Hui Lin,"Sing Hom, He-Hsuan Lin, Mimi Chu, Ting-hu Zhang",6.1,73,558,2,7,,12/30/2018,,,,
5723,The Catcher Was a Spy,Biography,"English, German, Italian, Japanese, French, Hebrew",Movie,3.6,Australia,1-2 hour,Ben Lewin,"Pierfrancesco Favino, Tom Wilkinson, Paul Rudd, Connie Nielsen",6.2,32,7575,,,"$725,223 ",12/30/2018,,,,
5724,Den 12. mann,Drama,"Norwegian, German, English, Saami",Movie,3.6,"United Kingdom,United States,Sweden,South Korea",> 2 hrs,Harald Zwart,"Jonathan Rhys Meyers, Mads Sjøgård Pettersen, Thomas Gullestad, Marie Blokhus",7.4,,20713,4,4,,12/30/2018,,,,
5725,Its All About Karma,Comedy,Italian,Movie,7.5,Italy,1-2 hour,Edoardo Maria Falcone,"Elio Germano, Fabio De Luigi, Valentina Cenni, Daniela Virgilio",5.6,,683,,,,12/30/2018,,,,
5726,Long Riders!,Animation,Japanese,Series,8.4,South Korea,< 30 minutes,,"Nao Tôyama, Rumi Okubo, Yurika Kurosawa, Hiromi Igarashi",6.8,,39,,,,12/30/2018,,,,
5727,Brammetje Baas,Comedy,Dutch,Movie,8.3,Netherlands,1-2 hour,Anna van der Heide,"Tjebbo Gerritsma, Katja Herbers, Roosmarijn van der Hoek, Coen van Overdam",7,,437,1,3,,12/30/2018,,,,
5728,Pluk Van De Petteflet,Fantasy,Dutch,Movie,7.8,Netherlands,1-2 hour,"Ben Sombogaart, Pieter van Rijn","Yeshela Crommelin, Colin Tetteroo, Janieck van de Polder, Suzanne Zuiderwijk",6.2,,656,2,,,12/30/2018,,,,
5729,In Family We Trust,Drama,Thai,Series,8.9,"Hong Kong,Russia,Australia,Singapore,India,Lithuania,United Kingdom,Canada,Romania,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",< 30 minutes,,"Phollawat Manuprasert, Kritsanapoom Pibulsonggram, Thanapob Leeratanakajorn, Sopitnapa Dabbaransi",8.1,,375,,1,,12/28/2018,,,,
5730,Hashoter Hatov,Comedy,Hebrew,Series,8.7,"Lithuania,Slovakia,Brazil,Israel,Mexico,Spain,United Kingdom,Romania,Canada,Switzerland,Belgium,Hong Kong,United States,Argentina,Greece,France,Japan,South Korea,Australia,Netherlands,Czech Republic,Russia,Sweden,Poland,Singapore,Hungary,India,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,"Liora Rivlin, Yigal Adika, Guy Loel, Yuval Semo",7.7,,265,,,,12/28/2018,,,,
5731,When Angels Sleep,Crime,Spanish,Movie,6.1,"Lithuania,Slovakia,Brazil,Israel,Spain,United Kingdom,Mexico,Canada,Switzerland,Belgium,Hong Kong,United States,Romania,Argentina,Greece,Australia,Japan,France,Russia,South Korea,Singapore,Netherlands,Czech Republic,Poland,Sweden,India,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",1-2 hour,Gonzalo Bendala,"Marian Álvarez, Julián Villagrán, Ester Expósito, Sira Alonso",5.4,,3170,1,3,,12/28/2018,,,,
5732,A Twelve Year Night,Crime,Spanish,Movie,4.6,"Lithuania,Mexico,Hong Kong,Canada,United Kingdom,Romania,Argentina,Australia,South Korea,Japan,Russia,Singapore,India,Sweden,Poland,Hungary,South Africa,Thailand,Turkey,Spain,Portugal,Czech Republic,United States,Greece,Slovakia,Malaysia,Brazil,Netherlands,Iceland,Israel,Colombia",> 2 hrs,Álvaro Brechner,"Antonio de la Torre, César Troncoso, Alfonso Tort, Chino Darín",7.6,,8488,47,30,,12/28/2018,,,,
5733,Selection Day,Sport,,Series,7.8,"Slovakia,Lithuania,Brazil,Israel,Mexico,Spain,United Kingdom,Canada,Switzerland,Romania,Belgium,Hong Kong,United States,Argentina,Greece,Japan,South Korea,Australia,France,Netherlands,Singapore,Russia,Poland,Sweden,Czech Republic,India,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Mahesh Manjrekar, Yash Dholye, Prashannt Jha, Shiv Panditt",7.4,,1841,,,,12/28/2018,,,,
5734,Instant Hotel,Reality-TV,English,Series,8,"Slovakia,Lithuania,Mexico,Spain,United Kingdom,Canada,Belgium,Switzerland,Romania,Hong Kong,Argentina,Greece,France,South Korea,Japan,Australia,Singapore,Czech Republic,Russia,Poland,Sweden,Hungary,India,Germany,Portugal,South Africa,Iceland,Thailand,Turkey,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,"Juliet Ashworth, Luke Jacobz, Terry Brouwers, Anita Bocquee",7.3,,1209,,,,12/28/2018,,,,
5735,Black Mirror: Bandersnatch,Fantasy,English,Movie,3.6,"Slovakia,Lithuania,Brazil,Spain,United Kingdom,Israel,Mexico,Switzerland,Canada,Belgium,Hong Kong,Romania,United States,Argentina,Greece,Australia,Japan,South Korea,France,Czech Republic,Russia,Singapore,Netherlands,Sweden,India,Poland,Hungary,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,David Slade,"Asim Chaudhry, Alice Lowe, Craig Parkinson, Fionn Whitehead",7.2,,114117,5,9,,12/28/2018,,,,
5736,Murder Mountain,Crime,English,Series,7.3,"Slovakia,Lithuania,Brazil,Israel,Mexico,Spain,United Kingdom,Canada,Switzerland,Belgium,Romania,Hong Kong,United States,Argentina,Greece,Japan,France,Russia,Netherlands,Australia,South Korea,Singapore,Sweden,Poland,Czech Republic,India,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,Billy Honsal,6.9,,2383,,,,12/28/2018,,,,
5737,Man of Steel,Action,English,Movie,3,"Hungary,Russia,Romania,Belgium,France,Portugal,Netherlands,Spain,Czech Republic,Israel,Germany,Poland,Sweden,Turkey,Hong Kong,South Korea,India,Lithuania,Greece",> 2 hrs,Zack Snyder,"Henry Cavill, Amy Adams, Michael Shannon, Diane Lane",7,56,693002,7,46,"$291,045,518 ",4/14/2015,,,,
5738,The Birth Reborn 3,Documentary,Portuguese,Movie,8.9,"Australia,Russia,France,Singapore,Czech Republic,India,Slovakia,Germany,Lithuania,Spain,Mexico,United Kingdom,Romania,Canada,Belgium,Switzerland,Argentina,Greece,Portugal,South Africa,Iceland,Thailand,Hungary,United States,Malaysia,Brazil,Israel,Colombia",1-2 hour,Eduardo Chauvet,"Marcio Garcia, Robbie Davis-Floyd, Michel Odent, Andrea Santa Rosa",8,,207,,,,12/28/2018,,,,
5739,Rehmataan,Drama,Punjabi,Movie,,"Australia,Russia,Singapore,India,Lithuania,United Kingdom,Romania,Canada,South Africa,Thailand,Hungary,Czech Republic,United States,Greece,Slovakia,Malaysia,Iceland,Israel",1-2 hour,Rajveer Singh Maan,"Sukhjinder Shera, Guggu Gill, Surinder Shinda, Harjeet Bhullar",,,,,,,12/28/2018,,,,
5740,The Magnificent Scoundrels,Comedy,Cantonese,Movie,7.9,Hong Kong,1-2 hour,Lik-Chi Lee,"Amy Yip, Stephen Chow, Wu Ma, Tien Niu",6.6,,873,,,,12/27/2018,,,,
5741,Mohenjo Daro,Action,Hindi,Movie,2.2,"Hungary,Slovakia,Lithuania,Canada,Australia,Czech Republic,Singapore,Russia,India,United Kingdom,Romania,Greece,South Africa,Iceland,Thailand,Belgium,Mexico,Hong Kong,France,Switzerland,Poland,Spain,Argentina,Portugal,Sweden,Japan,Germany,United States,Malaysia,Brazil,Netherlands,Israel,Italy,Turkey,Colombia",> 2 hrs,Ashutosh Gowariker,"Kabir Bedi, Arunoday Singh, Hrithik Roshan, Pooja Hegde",5.7,36,10613,,4,"$1,264,339 ",8/2/2018,,,,
5742,Once a Thief,Crime,"French, Cantonese, English, Hakka",Movie,5.3,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,John Woo,"Cherie Chung, Kong Chu, Leslie Cheung, Yun-Fat Chow",6.8,60,5840,,6,,12/27/2018,,,,
5743,Love Is Love,Comedy,"Cantonese, Mandarin",Movie,7.9,Hong Kong,1-2 hour,Tommy Ga-Shu Leung,"Suki Kwan, Sandra Kwan Yue Ng, Stephen Chow, Fui-On Shing",6.2,,416,,,,12/27/2018,,,,
5744,Southpaw,Action,English,Movie,3.2,"Hungary,Switzerland,Czech Republic,Germany,South Africa,Australia,Poland,Singapore,India,Greece,Malaysia,Slovakia,Romania",> 2 hrs,Antoine Fuqua,"Forest Whitaker, Oona Laurence, Rachel McAdams, Jake Gyllenhaal",7.4,60,218454,,11,"$52,421,953 ",12/16/2015,,,,
5745,Feng yu tong lu,Crime,Cantonese,Movie,8,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Parkman Wong,"Michael Wai-Man Chan, Vivian Chow, Stephen Chow, Fui-On Shing",6.2,,261,,,,12/27/2018,,,,
5746,Prison On Fire,Crime,"Cantonese, English",Movie,7.8,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Ringo Lam,"Roy Cheung, Tony Ka Fai Leung, Ka-Kui Ho, Yun-Fat Chow",7.3,87,2425,,8,,12/27/2018,,,,
5747,Pik lik sin fung,Crime,"Cantonese, English",Movie,8,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Parkman Wong,"Danny Lee, Kwong Leung Wong, Stephen Chow, Ka-Kui Ho",6.2,,268,1,2,,12/27/2018,,,,
5748,Faithfully Yours,Comedy,Cantonese,Movie,6.6,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Wah-Kei Wong,"Man Cheung, Siu Chung Mok, Jacky Cheung, Stephen Chow",5.7,11,291,,,,12/27/2018,,,,
5749,Prison On Fire II,Crime,Cantonese,Movie,7.8,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Ringo Lam,"Sung Young Chen, Elvis Tsui, Victor Hon, Yun-Fat Chow",6.8,62,991,,1,,12/27/2018,,,,
5750,Peppermint,Action,"English, Spanish",Movie,1.8,"Hungary,United Kingdom,Canada,Australia,United States,Malaysia,Slovakia,Romania,Japan",1-2 hour,Pierre Morel,"John Gallagher Jr., Jennifer Garner, Juan Pablo Raba, John Ortiz",6.5,12,56690,,4,"$35,418,723 ",6/1/2019,,,,
5751,Police Story 3 Super Cop,Crime,"Cantonese, English, Mandarin, Malay, Thai",Movie,4.1,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Stanley Tong,"Maggie Cheung, Michelle Yeoh, Kenneth Tsang, Jackie Chan",6.9,96,19519,2,4,"$16,270,600 ",12/27/2018,,,,
5752,City on Fire,Crime,"Cantonese, Mandarin, English",Movie,6.1,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Ringo Lam,"Carrie Ng, Danny Lee, Yueh Sun, Yun-Fat Chow",7.1,92,5958,2,9,,12/27/2018,,,,
5753,Impact Earth,Action,English,Movie,6.2,Iceland,1-2 hour,Rex Piano,"Brooke Langton, Bernard Curry, Lew Temple, Caitlin Carver",3.7,17,300,,,,9/4/2020,,,,
5754,City Hunter,Crime,Cantonese,Movie,2.9,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Jing Wong,"Kumiko Goto, Chingmy Yau, Joey Wang, Jackie Chan",6.5,50,10096,,,,12/27/2018,,,,
5755,City War,Crime,"Cantonese, English, Mandarin, Japanese",Movie,8,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Chung Sun,"Norman Chu, Lung Ti, Yun-Fat Chow, Tien Niu",6.4,,357,,,,12/27/2018,,,,
5756,Destruction Los Angeles,Action,English,Movie,5.9,"Iceland,Belgium,Canada,Netherlands,Israel,Sweden,Turkey",1-2 hour,Tibor Takács,"Craig Sheffer, Cynthia Watros, Robert Giardina, Romeo Miller",4.1,21,1353,,,,9/2/2020,,,,
5757,The Flaming Brothers,Crime,"Cantonese, English, Thai",Movie,7.7,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Tung Cho 'Joe' Cheung,"Alan Tang, Pat Ha, Lap Ban Chan, Yun-Fat Chow",6.3,57,537,,,,12/27/2018,,,,
5758,Sixty Million Dollar Man,Comedy,"Cantonese, Mandarin, English",Movie,6.5,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,"Jing Wong, Wai-Man Yip","Gigi Leung, Paulyn Sun, Stephen Chow, Man-Tat Ng",6.3,41,2250,,,,12/27/2018,,,,
5759,Diary of a Big Man,Comedy,Cantonese,Movie,8.2,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Yuen Chor,"Waise Lee, Joey Wang, Yun-Fat Chow, Sally Yeh",6.8,,383,,1,,12/27/2018,,,,
5760,The Karate Kid Part II,Action,English,Movie,2.7,"Iceland,Belgium,Spain,Germany,Italy,Sweden,Greece,Netherlands,Russia,Mexico,Argentina,Brazil,Colombia",1-2 hour,John G. Avildsen,"Ralph Macchio, Pat E. Johnson, Bruce Malmuth, Pat Morita",6.1,45,79404,4,3,"$115,103,979 ",4/14/2015,,,,
5761,A Better Tomorrow II,Crime,"Mandarin, Cantonese, English",Movie,4.2,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,John Woo,"Dean Shek, Lung Ti, Leslie Cheung, Yun-Fat Chow",7.3,80,9325,,2,,12/27/2018,,,,
5762,An Autumns Tale,Drama,"Cantonese, English, Japanese",Movie,8.5,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Mabel Cheung,"Danny Bak-Keung Chan, Cherie Chung, Yun-Fat Chow, Gigi Suk Yee Wong",7.7,93,1554,4,12,,12/27/2018,,,,
5763,All About Ah-Long,Drama,"Cantonese, English",Movie,8.4,"Hong Kong,Thailand,Singapore,Malaysia",1-2 hour,Johnnie To,"Man-Tat Ng, Sylvia Chang, Kun-Hsuan Huang, Yun-Fat Chow",7.3,87,1266,1,7,,12/27/2018,,,,
5764,Baahubali: The Beginning (Hindi Version),Action,"Telugu, Tamil, Hindi",Movie,4.2,"Iceland,Czech Republic,Hungary,Lithuania,Australia,India,United Kingdom,Canada,United States,Russia,South Africa,France,Singapore,Greece,Romania,Belgium,Hong Kong,Switzerland,Turkey,Slovakia,Malaysia,Netherlands,Italy,Israel",> 2 hrs,S.S. Rajamouli,"Rana Daggubati, Prabhas, Ramya Krishnan, Sathyaraj",8,89,103192,35,16,"$6,738,000 ",8/7/2017,,,,
5765,Baahubali: The Beginning (Malayalam Version),Action,"Telugu, Tamil, Hindi",Movie,4.2,"Iceland,Czech Republic,Hungary,Lithuania,Australia,India,United Kingdom,Canada,United States,Russia,South Africa,France,Singapore,Greece,Romania,Turkey,Hong Kong,Switzerland,Belgium,Slovakia,Malaysia,Netherlands,Italy,Israel",> 2 hrs,S.S. Rajamouli,"Rana Daggubati, Prabhas, Ramya Krishnan, Sathyaraj",8,89,103192,35,16,"$6,738,000 ",8/7/2017,,,,
5766,Baahubali 2: The Conclusion (Hindi Version),Action,"Telugu, Tamil",Movie,4.2,"Iceland,Czech Republic,Hungary,Lithuania,India,Australia,United Kingdom,Canada,Russia,South Korea,Japan,Argentina,South Africa,Mexico,France,United States,Slovakia,Malaysia,Brazil,Colombia",> 2 hrs,S.S. Rajamouli,"Rana Daggubati, Prabhas, Sathyaraj, Anushka Shetty",8.2,86,75740,27,15,"$20,186,659 ",8/7/2017,,,,
5767,Baahubali 2: The Conclusion (Malayalam Version),Action,"Telugu, Tamil",Movie,4.2,"Iceland,Czech Republic,Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,France,Slovakia,Malaysia",> 2 hrs,S.S. Rajamouli,"Rana Daggubati, Prabhas, Sathyaraj, Anushka Shetty",8.2,86,75740,27,15,"$20,186,659 ",8/7/2017,,,,
5768,Overboard (2018),Comedy,"English, Norwegian, Spanish, French",Movie,2.1,Canada,1-2 hour,Rob Greenberg,"Eva Longoria, Anna Faris, Eugenio Derbez, John Hannah",6,24,34546,3,10,"$50,316,123 ",12/27/2018,,,,
5769,Baahubali 2: The Conclusion (Tamil Version),Action,"Telugu, Tamil",Movie,4.2,"Iceland,Czech Republic,Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,France,Slovakia,Malaysia",> 2 hrs,S.S. Rajamouli,"Rana Daggubati, Prabhas, Sathyaraj, Anushka Shetty",8.2,86,75740,27,15,"$20,186,659 ",8/7/2017,,,,
5770,Early Man,Fantasy,English,Movie,3.5,"Romania,Belgium,United Kingdom,Mexico,Canada,Netherlands,Australia,Argentina,Colombia,Sweden",1-2 hour,Nick Park,"Timothy Spall, Tom Hiddleston, Maisie Williams, Eddie Redmayne",6.1,80,19891,1,10,"$8,267,544 ",12/27/2018,,,,
5771,You,Crime,English,Series,3.9,"Lithuania,Mexico,Romania,Spain,Switzerland,Canada,Belgium,Hong Kong,Argentina,Greece,Japan,France,Russia,Australia,South Korea,Poland,Sweden,Singapore,Czech Republic,Hungary,Slovakia,Germany,India,Portugal,South Africa,Iceland,Thailand,Turkey,United Kingdom,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,"Ambyr Childers, Victoria Pedretti, Penn Badgley",7.7,,144243,2,5,,12/26/2018,,,,
5772,Game Night,Crime,English,Movie,3.7,"Hong Kong,United Kingdom,Thailand,Singapore,Malaysia",1-2 hour,"John Francis Daley, Jonathan Goldstein","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan",6.9,85,207914,4,19,"$69,179,066 ",12/25/2018,,,,
5773,Stand Up and Away! with Brian Regan,Comedy,English,Series,7.7,"Lithuania,Israel,Brazil,Mexico,Spain,Romania,Canada,Switzerland,Belgium,Hong Kong,United States,Greece,Argentina,Australia,France,South Korea,Japan,Netherlands,Singapore,Russia,Sweden,Czech Republic,Poland,India,Germany,Slovakia,United Kingdom,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Brian Regan, Beth Triffon",5.7,,329,,,,12/24/2018,,,,
5774,The Last Animals,Documentary,English,Movie,9.5,"United Kingdom,Canada",1-2 hour,Kate Brooks,"Batian Craig, Patrick Duboscq, Yusef Gilisho, Kate Brooks",8.1,100,96,6,4,,12/24/2018,,,,
5775,Way Back into Love,Drama,"Mandarin, Min Nan",Series,8.6,"Hong Kong,Singapore,Australia,Russia,Hungary,Slovakia,Lithuania,India,Mexico,Romania,Canada,Argentina,South Africa,South Korea,Japan,Germany,Switzerland,Thailand,United Kingdom,Czech Republic,United States,Greece,Malaysia,Brazil,Iceland,Israel,Colombia",< 30 minutes,,"Ray Chang, Shao-hua Lung, Ya-Jo Wu, June Tsai",7.3,,11,,5,,12/23/2018,,,,
5776,Midnight Sun,Drama,English,Movie,2.1,"Canada,South Korea,Hungary,Romania,Netherlands,Czech Republic,Greece,Malaysia",1-2 hour,Scott Speer,"Rob Riggle, Patrick Schwarzenegger, Quinn Shephard, Bella Thorne",6.6,21,24022,,9,"$9,561,064 ",12/23/2018,,,,
5777,Wildling,Fantasy,English,Movie,3,"United States,United Kingdom",1-2 hour,Fritz Böhm,"Collin Kelly-Sordelet, Brad Dourif, Liv Tyler, Bel Powley",5.5,70,12051,,,,12/23/2018,,,,
5778,LEGO Marvel Super Heroes: Guardians of the Galaxy,Action,English,Movie,7.8,"Iceland,France,Russia,Czech Republic,Hungary,Slovakia,Portugal,Germany,Lithuania,Belgium,Romania,Spain,South Africa,Canada,United Kingdom,Poland,Turkey,United States,Netherlands,Italy,Israel",< 30 minutes,Michael D. Black,"Will Friedle, Trevor Devall, Jennifer Hale, Jonathan Adams",6,,307,,,,2/1/2019,,,,
5779,Van Helsing,Action,English,Series,3.1,"Iceland,India,Germany,Portugal,Lithuania,Russia,Czech Republic,Slovakia,Hungary,South Africa,Greece,Romania,Israel,Singapore,Hong Kong,United Kingdom,Canada,Australia,Switzerland,Netherlands,Belgium,Sweden,Brazil,France,Spain,Poland,Mexico,Argentina,South Korea,United States,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",< 30 minutes,,"Vincent Gale, Aleks Paunovic, Jonathan Scarfe, Kelly Overton",6.2,,17929,22,53,,12/17/2016,,,,
5780,I Spy,Action,"English, Hungarian, Russian",Movie,2.4,"Iceland,Italy,India,Greece,Sweden",1-2 hour,Betty Thomas,"Malcolm McDowell, Eddie Murphy, Famke Janssen, Owen Wilson",5.4,57,49236,2,6,"$33,561,137 ",11/15/2016,,,,
5781,My Sassy Girl,Comedy,Korean,Series,8.3,"Romania,Belgium,Greece,France,Australia,Russia,Singapore,Czech Republic,Hungary,India,Lithuania,South Africa,Hong Kong,Thailand,Iceland,Switzerland,Argentina,Mexico,Canada,United Kingdom,United States,South Korea,Slovakia,Turkey,Malaysia,Brazil,Israel,Germany,Poland,Italy,Spain,Portugal,Sweden,Netherlands,Colombia",< 30 minutes,,"Joo Won, Shi-Kang Lee, Yeon-Seo Oh, Jung Shin Lee",6.9,,365,,,,12/21/2018,,,,
5782,The Casketeers,Documentary,"English, Maori",Series,8.5,"Lithuania,Mexico,United Kingdom,Spain,Romania,Switzerland,Canada,Belgium,Hong Kong,Argentina,Australia,France,Singapore,Japan,Russia,South Korea,Poland,Sweden,Czech Republic,Germany,Slovakia,Portugal,South Africa,Iceland,Thailand,Hungary,Turkey,India,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,,"Kaiora Tipene, Francis Tipene",7.4,,372,,,,12/21/2018,,,,
5783,Bird Box,Horror,English,Movie,3,"Lithuania,Brazil,Spain,Switzerland,United Kingdom,Mexico,Canada,Romania,Belgium,Hong Kong,Greece,Argentina,United States,Australia,Japan,Russia,Singapore,France,South Korea,Czech Republic,India,Netherlands,Sweden,Hungary,Poland,Slovakia,Germany,Portugal,South Africa,Iceland,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",> 2 hrs,Susanne Bier,"Sarah Paulson, Sandra Bullock, Trevante Rhodes, John Malkovich",6.6,64,280672,5,8,,12/21/2018,,,,
5784,Bad Seeds,Comedy,French,Movie,6.5,"Lithuania,United Kingdom,Mexico,Canada,Romania,Hong Kong,Argentina,Australia,Japan,Singapore,Russia,South Korea,Hungary,Sweden,Poland,Slovakia,Germany,Thailand,India,Spain,Czech Republic,United States,Turkey,Malaysia,Brazil,Italy,Iceland,Colombia",1-2 hour,Kheiron,"Louison Blivet, Catherine Deneuve, André Dussollier, Kheiron",7.3,,4219,,,,12/21/2018,,,,
5785,The Last Hangover,Short Drama,Portuguese,Movie,7.1,"Lithuania,Mexico,United Kingdom,Romania,Canada,Greece,Argentina,Australia,Russia,Czech Republic,Hungary,Slovakia,South Africa,Iceland,Turkey,Spain,Belgium,Sweden,Poland,Germany",30-60 mins,Rodrigo Van Der Put,"Fábio Porchat, Gregório Duvivier, Antonio Tabet, Pedro Benevides",6.3,,2133,1,,,12/21/2018,,,,
5786,Struggle: The Life and Lost Art of Szukalski,Documentary,English,Movie,7.7,"Lithuania,Israel,Brazil,Mexico,Spain,United Kingdom,Switzerland,Romania,Canada,Belgium,Hong Kong,Greece,United States,Argentina,Australia,Japan,France,South Korea,Czech Republic,Singapore,Russia,Netherlands,Poland,Sweden,India,Slovakia,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",1-2 hour,Irek Dobrowolski,"Stanislav Szukalski, Glenn Bray, Robert Williams, Suzanne Williams",8,93,3316,,,,12/21/2018,,,,
5787,Derry Girls,Comedy,English,Series,4.2,"Israel,Lithuania,Brazil,Mexico,Romania,Spain,Switzerland,Canada,Belgium,Greece,Hong Kong,Argentina,United States,France,Australia,Japan,South Korea,Netherlands,Russia,Singapore,Czech Republic,Poland,India,Sweden,Germany,Slovakia,Portugal,South Africa,Iceland,Italy,Thailand,United Kingdom,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Louisa Harland, Saoirse-Monica Jackson, Jamie-Lee O'Donnell, Nicola Coughlan",8.4,,21116,7,13,,12/21/2018,,,,
5788,Slow Country,Action,English,Movie,7.2,"Iceland,Singapore,Japan,Russia,Hong Kong,Sweden,Portugal,Poland,India,Thailand,Belgium,Hungary,South Africa,Slovakia,Germany,Lithuania,Greece,United Kingdom,Mexico,Switzerland,Canada,Romania,Argentina,Czech Republic,Spain,Australia,Turkey,France,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,Eric Aghimien,"Gina Castel, Stephen Damian, Folaremi Agunbiade, Imoudu Ayonote",4.4,,23,,,,12/5/2019,,,,
5789,Diablero,Fantasy,Spanish,Series,7.3,"Israel,Lithuania,Brazil,Mexico,Romania,United Kingdom,Spain,Switzerland,Canada,Belgium,Greece,Hong Kong,United States,Argentina,France,Australia,Netherlands,Japan,Russia,Singapore,Czech Republic,Poland,Sweden,India,Slovakia,Germany,South Korea,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Fátima Molina, Christopher Von Uckermann, Horacio Garcia Rojas, Gisselle Kuri",6.7,,2167,,1,,12/21/2018,,,,
5790,Shanghai Fortress,Action,"Mandarin, English",Movie,5.6,"Iceland,Spain,United Kingdom,Slovakia,Canada,South Africa,Czech Republic,Thailand,Belgium,Australia,Japan,Singapore,France,Poland,Portugal,South Korea,Russia,Hong Kong,Sweden,Greece,Germany,Lithuania,Romania,Argentina,Switzerland,Mexico,Hungary,Turkey,India,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,Hua-Tao Teng,"Han Lu, Godfrey Gao, Liang Shi, Qi Shu",4.3,21,1936,,1,,9/13/2019,,,,
5791,7 Days Out,Documentary,English,Series,8.2,"Israel,Lithuania,Brazil,Mexico,Spain,Romania,United Kingdom,Canada,Switzerland,Belgium,Hong Kong,Greece,Argentina,United States,France,South Korea,Japan,Australia,Russia,Netherlands,Sweden,Singapore,Czech Republic,Poland,India,Slovakia,Germany,Portugal,South Africa,Iceland,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,,"Matthew Haag, Emmy, Frank Bruni, Kevin Flanery",6.8,,443,,,,12/21/2018,,,,
